"1","2","0"
"2","2","0"
"3","2","0"
"4","2","0"
"5","2","0"
"6","2","0"
"6","3","0"
"7","2","0"
"8","90","0"
"12","3","0"
"17","3","0"
"17","11350","1"
"21","3","0"
"35","8","0"
"39","8","0"
"88","10","0"
"88","10187","1"
"156","14","0"
"186","10","0"
"186","10183","1"
"190","10","0"
"190","10245","1"
"195","10","0"
"195","10187","1"
"199","10","0"
"199","10166","1"
"202","10","0"
"202","10187","1"
"202","13780","0"
"204","10","0"
"204","13325","1"
"206","10","0"
"206","10244","1"
"213","10","0"
"213","10187","1"
"218","10","0"
"218","13325","1"
"218","13791","0"
"223","10","0"
"223","10187","1"
"223","12033","0"
"225","10","0"
"225","10187","1"
"225","12033","0"
"227","10","0"
"227","10187","1"
"232","10","0"
"232","10187","1"
"264","3","0"
"264","1891","0"
"268","3","0"
"268","10148","0"
"270","3","0"
"270","10149","1"
"274","3","0"
"274","22","0"
"283","3","0"
"283","22","0"
"283","27","0"
"283","133","0"
"283","10253","1"
"285","3","0"
"285","22","0"
"285","27","0"
"285","53","0"
"285","133","0"
"290","3","0"
"290","10154","1"
"293","3","0"
"293","10154","1"
"295","3","0"
"297","3","0"
"297","41","0"
"301","3","0"
"301","41","0"
"303","3","0"
"303","160","0"
"303","11350","1"
"305","3","0"
"396","47","0"
"404","47","0"
"406","47","0"
"409","47","0"
"414","47","0"
"431","47","0"
"433","47","0"
"445","47","0"
"452","47","0"
"455","47","0"
"461","47","0"
"464","47","0"
"464","48","0"
"471","47","0"
"474","47","0"
"476","47","0"
"478","47","0"
"478","48","0"
"481","47","0"
"483","47","0"
"486","47","0"
"488","47","0"
"497","42","0"
"497","47","0"
"503","47","0"
"505","47","0"
"512","47","0"
"512","49","0"
"518","47","0"
"522","47","0"
"524","47","0"
"528","47","0"
"537","47","0"
"539","47","0"
"541","47","0"
"543","47","0"
"545","47","0"
"547","47","0"
"550","47","0"
"552","47","0"
"554","47","0"
"556","47","0"
"575","47","0"
"578","47","0"
"580","47","0"
"595","47","0"
"616","8","0"
"616","42","0"
"750","47","0"
"756","47","0"
"758","47","0"
"762","47","0"
"765","47","0"
"772","47","0"
"776","47","0"
"776","10187","1"
"784","47","0"
"786","47","0"
"789","47","0"
"791","47","0"
"795","47","0"
"795","10213","0"
"797","47","0"
"799","47","0"
"807","47","0"
"809","47","0"
"809","48","0"
"816","47","0"
"818","47","0"
"825","47","0"
"828","47","0"
"830","47","0"
"832","47","0"
"835","47","0"
"837","47","0"
"839","47","0"
"851","47","0"
"853","47","0"
"855","47","0"
"857","47","0"
"859","47","0"
"861","47","0"
"863","47","0"
"865","47","0"
"867","47","0"
"869","47","0"
"871","47","0"
"873","47","0"
"876","47","0"
"879","47","0"
"882","47","0"
"885","47","0"
"893","47","0"
"895","47","0"
"897","47","0"
"900","47","0"
"913","47","0"
"918","47","0"
"923","47","0"
"925","47","0"
